Account,Allocation,BAL (raw),vlCVX (raw),Voting power (raw),BAL (rescaled),vlCVX (rescaled),Voting power (rescaled),Vote
0x1e1300eeaf333c572e4fc0133614291fa9d0df8b,8799231765133808949031,0,537967197607228066772223,0,0,8799231765133808949031,0,-
0xe001452bec9e7ac34ca4ecac56e7e95ed9c9aa3b,8543893895623939897632,0,517254067887887475080788,0,0,8543893895623939897632,0,-
0xaebfe1e1bd01d4b6baf4b998e7b8dc93182d40e0,8026440825876263261307,145576592606178500000000,0,0,8026440825876263261307,0,0,-
0xa51b1bc907fe0a6bc6538c5c56472c1d9c60de23,7517432324009666444908,0,436102747131425829138607,0,0,7517432324009666444908,0,-
0x3b83c426c3b51546aaa1e3716b313bc0ce35801f,7228751379313308461860,126613084748970583517812,0,0,7228751379313308461860,0,0,-
0xca3cd338242f2bb6101ce6219ae1654def1c3537,7159568613984835792508,125000000000000000000000,0,0,7159568613984835792508,0,0,-
0xf8c98cefa0eb07815085ee629ceba37f3dedd47a,7159568613984835792508,125000000000000000000000,0,0,7159568613984835792508,0,0,-
0xcd42a6427df188ccca1f995b229d990278bffc0d,7159568613984835792508,125000000000000000000000,0,0,7159568613984835792508,0,0,-
0x012144ba349d6ae5b68581b29ea4d42b1f43fdb7,7075881553873898155871,0,402287797102486016228795,0,0,7075881553873898155871,0,-
0x130a0c04fa302f6f670f04cc0ccc8b1ad240c468,6914936506512281994219,119337921079176430000000,0,0,6914936506512281994219,0,0,-
0x59b4642dd7708f84235072a8b9c0cc0b2cc24bbb,6914936506512281994219,119337921079176430000000,0,0,6914936506512281994219,0,0,-
0xb4fd16529ae8b578d7d23e8df5a900e130861b3d,6914936506512281994219,119337921079176430000000,0,0,6914936506512281994219,0,0,-
0x895d4bdc04520fe43685abf620af2f37e41ece85,6869236491086641763104,118287493734933840000000,0,0,6869236491086641763104,0,0,-
0xe08a8b19e5722a201eaf20a6bc595ef655397bd5,6804398438054408870812,116801168421811220000000,0,0,6804398438054408870812,0,0,-
0x3c221e16a342a5ec114f7259a37ef42b0597c251,6604349584763577695412,112245156630621360000000,0,0,6604349584763577695412,0,0,-
0x9a67f1940164d0318612b497e8e6038f902a00a4,6593144249562921686447,0,366116714664631057530642,0,0,6593144249562921686447,0,-
0x04e8e5aa372d8e2233d2ef26079e23e3309003d5,6590513033942304083724,153033644160408073276,0,313574978787478187314,46859163962836738904,0,6543653869979467344820,Y
0xda6b2a5e0c56542984d84a710f90eefd94ca1991,6479289661700148826640,109420173763970730000000,0,0,6479289661700148826640,0,0,-
0x6724f3fbb16f542401bfc42c464ce91b6c31001e,6393186668077897593321,107485707430379751002508,0,0,6393186668077897593321,0,0,-
0x1f15b9414451b57e129f3d22c83b33faa7fe35cc,6370158760977283755267,209801378917167244742,0,286417707432635324949,59369118335599132763,0,6310789642641684622504,N
0x71535aae1b6c0c51db317b54d5eee72d1ab843c1,6228401535736934235388,215567969533982392250,0,270469655799062309143,60588823431740635783,0,6167812712305193599605,N
0x9538d438d506fc426db37fb83dac2a0752a02757,6218630271954853924399,0,338653656071840377990156,0,0,6218630271954853924399,0,-
0x9b71dbccd9ffb858899ef3244b09a5354b16048e,6056257688846842029307,99999999999999990000000,0,0,6056257688846842029307,0,0,-
0x6aee9dc09702dffab334f3f8e6f3f97c0e7261f4,6056257688846842029307,99999999999999990000000,0,0,6056257688846842029307,0,0,-
0xb3663692e6e3298ed8d03700f1c5298ebb47a003,6056257688846842029307,99999999999999990000000,0,0,6056257688846842029307,0,0,-
0x66c9e1e4fe518cebfe59c9de16e1c780ef5bacd3,6056257688846842029307,99999999999999990000000,0,0,6056257688846842029307,0,0,-
0xd519d5704b41511951c8cf9f65fee9ab9bef2611,6056257688846842029307,99999999999999990000000,0,0,6056257688846842029307,0,0,-
0xc9cea7a3984cefd7a8d2a0405999cb62e8d206dc,6056257688846842029307,99999999999999990000000,0,0,6056257688846842029307,0,0,-
0x014b1e8514a000767620234a807b88948489a0e9,6011238805848632182460,99010103408687560000000,0,0,6011238805848632182460,0,0,-
0x4f76ff660dc5e37b098de28e6ec32978e4b5beb6,5819751389716813719133,94827313994530464236688,0,0,5819751389716813719133,0,0,-
0x90572772b5c191f265830d5761fb4932a83f9c4f,5735655189760410493704,127732615856663316079,0,221551414405579691902,40919535999195531417,0,5694735653761214962287,Y
0x3f3e305c4ad49271ebda489dd43d2c8f027d2d41,5678278409354355062533,0,299998002439002564642578,0,0,5678278409354355062533,0,-
0x24faf482304ed21f82c86ed5feb0ea313231a808,5560766505278003023705,89242915876770348404534,0,0,5560766505278003023705,0,0,-
0xf3d9b8f6af674e82943b4685728b00d13a62fc9e,5438176443600342281570,0,283204736261756217572838,0,0,5438176443600342281570,0,-
0xbdc1340bedeb6a65d96f2cb319028208f35da8c8,5209790056008059764281,81812783520275319460779,0,0,5209790056008059764281,0,0,-
0xcb3593c7c0dfe13129ff2b6add9ba402f76c797e,5086907842165229340026,79250017226689597009681,0,0,5086907842165229340026,0,0,-
0x242d7cd78cce454946f35f0a263b54fbe228852c,4967591841528292206931,76781291433765829424374,0,0,4967591841528292206931,0,0,-
0xe7a76d8513e55578c80e4b26fc61ee7d4906d4cd,4959482203554026455095,76614208732814178802073,0,0,4959482203554026455095,0,0,-
0xb4982f934db398cd4e1f24a581ebdf5df9ba4069,4958623651834802572580,227004531459540686456,246173921849756152369082,0,62984000336643717333,4895639651498158855247,0,-
0xdff2aea378e41632e45306a6de26a7e0fd93ab07,4955746343466901635111,0,250212044735971343470737,0,0,4955746343466901635111,0,-
0xaba85673458b876c911ccff5e3711bcedb3b4f56,4952596161537722764479,0,250000000000000000000000,0,0,4952596161537722764479,0,-
0x1a249e361f9e6f9b9de4bb528a72e6a1f8345241,4781971267558039471623,72979937778974999673665,0,0,4781971267558039471623,0,0,-
0x9e2b6378ee8ad2a4a95fe481d63caba8fb0ebbf9,4739936221298648888478,0,235790398842205293476582,0,0,4739936221298648888478,0,-
0x7a16ff8270133f063aab6c9977183d9e72835428,4692065689172188285738,0,232620631948035123059526,0,0,4692065689172188285738,0,-
0x5d47e5d242a8f66a6286b0a2353868875f5d6068,4667186752127893669240,0,0,134718907276170767773,0,0,4667186752127893669240,N
0x56a201b872b50bbdee0021ed4d1bb36359d291ed,4656062590922429990314,0,230243758554335247026756,0,0,4656062590922429990314,0,-
0xe81b85cd6903deccfea9c4d3fa87d29bf02e5cc0,4625839868848166588577,0,228253219980240683071315,0,0,4625839868848166588577,0,-
0xaa857ddce7b5b9cb17296c790cb40e8c11a3d4f0,4606153333033619674097,69424388049933602270043,0,0,4606153333033619674097,0,0,-
0x4a65e76be1b4e8dd6ef618277fa55200e3f8f20a,4600552368833208674914,69311853169239580000000,0,0,4600552368833208674914,0,0,-
0x04f806b3a5d670901a19879a626e0e025b7991f3,4531144656118125567446,0,222044501212957751704380,0,0,4531144656118125567446,0,-
0xf694197103dfb3e2d1a21effb72f945710fbefc9,4479226723214935191208,66885441737242435920052,0,0,4479226723214935191208,0,0,-
0x6d5dda04760f0515dc131ff4df76a5188ffcdfcb,4473226245521927012305,66766000000000000000000,0,0,4473226245521927012305,0,0,-
0x70fce97d671e81080ca3ab4cc7a59aac2e117137,4464652344714564605965,0,217710637087226758012548,0,0,4464652344714564605965,0,-
0x626af9d4f2bbabf5161a466996bf1a0eb8e4498d,4456777185277115677309,66438849298721280000000,0,0,4456777185277115677309,0,0,-
0xd74bcb044b7c6747fed01d8a3527d5bc356d51d9,4456777185277115677309,66438849298721280000000,0,0,4456777185277115677309,0,0,-
0xd01ce364c68a5ad7f85ac4fc3246e577a00442cd,4456777185277115677309,66438849298721280000000,0,0,4456777185277115677309,0,0,-
0x6db65261a4fc3f88e60b7470e9b38db0b22e785c,4394740682196553279937,0,213177055085099069401622,0,0,4394740682196553279937,0,-
0x9d3a2657b4676349b2dd614247e5dd4b33fe303a,4373398850421957831713,64786768890409301093314,0,0,4373398850421957831713,0,0,-
0xf0d1ea509f19836907c5324fd8c19ed7943097eb,4320629911565651127603,63746590717584560000000,0,0,4320629911565651127603,0,0,-
0x967159c42568a54d11a4761fc86a6089ed42b7ba,4313417977182368304057,63604756990000000000000,0,0,4313417977182368304057,0,0,-
0x788c0d59aee802ee615b3db138215862247f5960,4298667412787771354488,63314910768315014000000,0,0,4298667412787771354488,0,0,-
0xc75159987ab5bba7df82684aad12af3123a5f667,4246968393758969796181,62301654145546760000000,0,0,4246968393758969796181,0,0,-
0x3744da57184575064838bbc87a0fc791f5e39ea2,4242164977104969693755,62207719100000000000000,0,0,4242164977104969693755,0,0,-
0x575daf04615aef7272b388e3d7fac8adf1974173,4154521265481680529774,60500020348734702565707,0,0,4154521265481680529774,0,0,-
0x0154d25120ed20a516fe43991702e7463c5a6f6e,4149730703778222050460,60407021790418570503395,0,0,4149730703778222050460,0,0,-
0x6aed19abab347eb07a2c8b264fc5c4c1b002210b,4027223097744480583060,0,189745013647687213961035,0,0,4027223097744480583060,0,-
0x78e87757861185ec5e8c0ef6bf0c69fa7832df6c,4007247332434522107292,24555920821265434739,0,91344489318233272002,11880138781867302100,0,3995367193652654805192,Y
0xaeddeeb74a18510a7ce945e88f037e7b37aa5587,3964186353820868134790,56832874435806661495008,0,0,3964186353820868134790,0,0,-
0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,3882300138055635670753,55272997259340320000000,0,0,3882300138055635670753,0,0,-
0x3505b95dbc8dbd895614f34ee8633ecbbaf35dc6,3875173382067875991197,0,180253748197794775478542,0,0,3875173382067875991197,0,-
0x6914fc70fac4cab20a8922e900c4ba57feecf8e1,3859895507074942088366,54848101902966322086286,0,0,3859895507074942088366,0,0,-
0x6e33b41e44ca2be27e8f65b5231ae61a21044b4a,3735285683710042121675,52500000000000000000000,0,0,3735285683710042121675,0,0,-
0xa23f54e0bb57a6114d831c080823f5fe2616cf98,3726444303748864058434,0,171089083207129529910162,0,0,3726444303748864058434,0,-
0x4ee98b27eef58844e460922ec9da7c05d32f284a,3707596813011314679898,0,169936285035004024393857,0,0,3707596813011314679898,0,-
0xc72aed14386158960d0e93fecb83642e68482e4b,3662355064441348531545,0,167177072310608724365011,0,0,3662355064441348531545,0,-
0x649f69ccd077da03dfb11f4b1daab4b625f5e9a3,3657910027120790346089,0,166906587717226910172030,0,0,3657910027120790346089,0,-
0x0b177b7f10faeadd6eee6d2cc46d783f460566c8,3601072366933300600067,49999999999999990000000,0,0,3601072366933300600067,0,0,-
0x0a29500ccc6af0b11c72d4e171d925eb0bb7ee15,3601072366933300600067,49999999999999990000000,0,0,3601072366933300600067,0,0,-
0xf1f7c71cb81ceba1dc5fd659eeb144301df0dbb4,3601072366933300600067,49999999999999990000000,0,0,3601072366933300600067,0,0,-
0xd3238d8be92fd856146f53a8b6582bc88e887559,3601072366933300600067,49999999999999990000000,0,0,3601072366933300600067,0,0,-
0xdceacfdc8679cc3223541e840a38627e8d2d9fed,3601072366933300600067,49999999999999990000000,0,0,3601072366933300600067,0,0,-
0xf96cd1cf416b50b60358a17bc8593060148de422,3601072366933300600067,49999999999999990000000,0,0,3601072366933300600067,0,0,-
0xaa09f53483713fd060edff4450cac1dd0a564407,3593934671155182973834,18217450778239058451,0,69637519794419276309,9496641625312809865,0,3584438029529870163969,Y
0x8180d59b7175d4064bdfa8138a58e9babffda44a,3523651723236513589654,48571871873927270184325,0,0,3523651723236513589654,0,0,-
0x1cbad69d9cc22962a0a885921518c06ed2f04ffd,3485212454559499292372,47866670000000000000000,0,0,3485212454559499292372,0,0,-
0xf9a2fa22cb7df26e3a10622c696f37fc345c6239,3470218660534752416424,0,155586498646061663748696,0,0,3470218660534752416424,0,-
0xbc280becab2bf6ddc0c126e9179d27bb0ebe52a3,3439026575839589440875,0,153724643880999996326864,0,0,3439026575839589440875,0,-
0x67068f70088f214c0ca03a3934d384a0308da355,3418503199736822807608,0,152502667669141781516373,0,0,3418503199736822807608,0,-
0x80a6c8163dd15265346cdda2d32be8c132be434f,3403593630688383161242,13941917317742451132,0,60834966771703669508,7770450941576161341,0,3395823179746806999901,N
0x05f0ba0f63b401bc9b86089265cee2f79c955768,3390648650142393307760,0,150848097961971041513607,0,0,3390648650142393307760,0,-
0xdea0d77a9b02020acf075074881f370a31009982,3327466800959110514668,45000000000000000000000,0,0,3327466800959110514668,0,0,-
0xec74c7dacbe337ea39116851cdf3851f6bd754b2,3268618315431865994469,0,143653121120993280783296,0,0,3268618315431865994469,0,-
0x3f29065b40353c7d823b5834e8ccff5cf1e539b2,3242103319359134729893,0,142101475521963584469631,0,0,3242103319359134729893,0,-
0x3bfe14b758d1cec88e29c4748c09420b6e4319db,3231443156997881033021,43276908916677639354020,0,0,3231443156997881033021,0,0,-
0x10aa978d5fb68dc134a4843756257e67c523a402,3225110151043439600471,43163860000000000000000,0,0,3225110151043439600471,0,0,-
0x1157a2076b9bb22a85cc2c162f20fab3898f4101,3174626523739141248370,42265342521699540000000,0,0,3174626523739141248370,0,0,-
0x708e5804d0e930fac266d8b3f3e13edba35ac86e,3105573826561117130041,0,134179220184509293176234,0,0,3105573826561117130041,0,-
0xd0ed2d0b2b136f0dfeefc1387dc52ef5d2293dae,3084655775633080793341,0,132975529749812092632055,0,0,3084655775633080793341,0,-
0xe2c91f3409ad6d8ce3a2e2eb330790398cb23597,3034186275300701709057,39790908809810480000000,0,0,3034186275300701709057,0,0,-
0x28b7ec763fd69f42eeb16ff6621e7c5f2f5e09ea,3029199103808893141832,0,129797565222672448726371,0,0,3029199103808893141832,0,-
0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,3022615675459229123590,21204322066349373926641,34862315718417783500627,0,1892442268981107417858,1130173406478121705732,0,-
0x957fe1ed8a14b6803a657b2e211d1bbe875af1c3,2948812279968369693961,0,125225359832870366517454,0,0,2948812279968369693961,0,-
0xcb33844b365c53d3462271cee9b719b6fc8ba06a,2871654308618072718673,36974622594472378295904,0,0,2871654308618072718673,0,0,-
0x9d478db0cf81a3e051d5041e65056f76b9fec128,2856045813166292191454,0,120000488083320480654947,0,0,2856045813166292191454,0,-
0x97960149fc611508748de01202974d372a677632,2855163564825727007701,36691786925334650000000,0,0,2855163564825727007701,0,0,-
0x2f93524b327100fba3dc685204f94c7a86c28a8b,2849745773662448755204,36598984048624020000000,0,0,2849745773662448755204,0,0,-
0x561f551f0c65a14df1966e5d38c19d03b03263f5,2829199641774663177785,0,118498880000000004656613,0,0,2829199641774663177785,0,-
0xde3258c1c45a557f4924d1e4e3d0a4e5341607ee,2815008722752586436400,36005363423952054290567,0,0,2815008722752586436400,0,0,-
0x72b223de2f773c814465c4a8f2ef9faae702cfb3,2804974578615390328196,0,117147949824807379627600,0,0,2804974578615390328196,0,-
0x5c461a0c595d6b2a4b0f4a42fd55be7aaed8af80,2768502169712256090861,0,115121368598908928106539,0,0,2768502169712256090861,0,-
0x48c6074ffcb8fb67d75ccd06571b42542ed82555,2737396461374616137618,0,113400000129424210172147,0,0,2737396461374616137618,0,-
0x284b4d2b39c49ec987aa5129c2145711363181c7,2687358993131186252867,0,110644636815332851256244,0,0,2687358993131186252867,0,-
0x09d4083ffd20d21acb9118465ad7c52ac8b548f7,2685999981191414462955,0,110570038317767495755106,0,0,2685999981191414462955,0,-
0xb115aff9ce430fef6fcde91099a377795a4319bf,2676259346362964606669,0,110035726633611760917120,0,0,2676259346362964606669,0,-
0x66300889afb808626498c28e3811bb9b06a014ad,2668468638554289171339,26231346431567224897,0,32912047442992310664,12483023356223000633,0,2655985615198066170706,Y
0x72a916702bd97923e55d78ea5a3f413dec7f7f85,2638180858032168089267,0,107953204755057377042249,0,0,2638180858032168089267,0,-
0xe69e091fbb8031b17d5f3f106bed2213ba3d860c,2636919714919416946941,33000720000000000000000,0,0,2636919714919416946941,0,0,-
0x0412ed8438b5fae246606909ef8ba365f9103783,2626152665387954129983,32821178009837997497057,0,0,2626152665387954129983,0,0,-
0x92ea9272b0476174b19a0e0499ff40e24c5ca895,2622348711982452641678,32757805161233890000000,0,0,2622348711982452641678,0,0,-
0x6e26d91c264ab73a0062ccb5fb00becfab3acc6b,2622038395433904042875,0,107073380810312242829241,0,0,2622038395433904042875,0,-
0xf85385347f56819c316939434d427d0c9537eddc,2614210117404400079977,0,106647359673590166494250,0,0,2614210117404400079977,0,-
0x59e0cda5922efba00a57794faf09bf6252d64126,2610109161219038014679,32554105527980002000000,0,0,2610109161219038014679,0,0,-
0x482ba6028f0332aafea3cfc040d797350975efea,2599225214097168191074,0,105833055488676051027142,0,0,2599225214097168191074,0,-
0xe5350e927b904fdb4d2af55c566e269bb3df1941,2555716400484078349109,0,103477596556122705806047,0,0,2555716400484078349109,0,-
0x7a8edc710ddeadddb0b539de83f3a306a621e823,2519874576547319065867,0,101547215575264432118274,0,0,2519874576547319065867,0,-
0x7308a21030ae55721707fd4717bf5f8e1b0afbed,2510542962996577443846,0,101046125010170668247156,0,0,2510542962996577443846,0,-
0x12b846cf0a231fc291d3c63f83dcc43cff421664,2491180736958729539765,0,100008390001240128185600,0,0,2491180736958729539765,0,-
0xe6882e6093a69c47fc21426c2dfdb4a08eb2dec8,2491024039568847911141,0,100000002605305053293705,0,0,2491024039568847911141,0,-
0x93d2da51546a9a422f00277c388a53276fa7f685,2491023990894767848658,0,100000000000000000000000,0,0,2491023990894767848658,0,-
0x44751213b4800dd3e70f299a167fdf25bfceb665,2478631745393245182640,30386234321737662000000,0,0,2478631745393245182640,0,0,-
0x49a2dcc237a65cc1f412ed47e0594602f6141936,2458769188561871487764,30062001257154905033530,0,0,2458769188561871487764,0,0,-
0x1be2c432d02ffb083ed99143d5564880802091bb,2456318822956322492246,0,98146714968329179100692,0,0,2456318822956322492246,0,-
0x92f5d472bb5018e858e23453641850bfeac30e7d,2450020701840302990604,0,97811321161543019115925,0,0,2450020701840302990604,0,-
0x4f58985b75eec8f14c536878a19eadf4a1960d6c,2429244569023044263645,20760734660444505550,0,26048159055749280810,10474574358377580552,0,2418769994664666683093,Y
0x8906da6bc78f5e4b2a8bbdcf0ff7b5a7c52ea0d4,2428196294784434485337,29564640000000000000000,0,0,2428196294784434485337,0,0,-
0xc02a0ffc3a2b142954848f3605b341c42d1d58f4,2425181590587637856515,29515709196736315789167,0,0,2425181590587637856515,0,0,-
0x0459dda9eb7062e6fdca6293a4c363722fca6102,2360953364081861309387,0,93099210429857863346115,0,0,2360953364081861309387,0,-
0xe68d7a6c421e2d220b5840116008c9abdbcf53b2,2332856340647700562840,28027102349819428551420,0,0,2332856340647700562840,0,0,-
0x4f2331009166597a3bf44bee7380ac0580646c19,2310411714849712552677,27668144995381230000000,0,0,2310411714849712552677,0,0,-
0xcd46ec6b6c1214145cb968f33fdc0eab19196cfa,2301758694495165400440,0,90000000000000000000000,0,0,2301758694495165400440,0,-
0x0519ba35ae9ce8a987bba57f1b7d22fcfd8b7fa8,2289376797664035620983,0,89355061022014400805347,0,0,2289376797664035620983,0,-
0xd6e96e437b8d42406a64440226b77a51c74e26b1,2255825186488744748203,26800000000000000000000,0,0,2255825186488744748203,0,0,-
0x125f95140e9c4b34043546bb5ac302b3aecff65b,2249045407648126001732,26692658941272875381401,0,0,2249045407648126001732,0,0,-
0x166f54f44f271407f24aa1be415a730035637325,2246823589954377439426,26657505386865030000000,0,0,2246823589954377439426,0,0,-
0x3dba737ccc50a32a1764b493285dd51c8af6c278,2218990253610609670432,26218111046672726000000,0,0,2218990253610609670432,0,0,-
0x108a8b7200d044bbbe95bef6f671baec5473e05f,2212735434855557741685,26119620337392192595871,0,0,2212735434855557741685,0,0,-
0x9d3c241a24c8a34bae2f3c06e93e8ca1c6e69443,2210198637737246604829,16406395857260942961,0,20584840363851025558,8779387848225956859,0,2201419249889020647970,Y
0x1d5e62171e052419a2f682c6f465f9357d69f39f,2200549483505752505152,25928002360875238000000,0,0,2200549483505752505152,0,0,-
0x58c0a5f11469ea49ad1bf0ad0d25a5cae582dd0a,2195337621063917140418,0,84495039415492035914212,0,0,2195337621063917140418,0,-
0x92f8fd976590b40da4f75f658daff6967c1e3741,2181209907202656722802,25624623189413087000000,0,0,2181209907202656722802,0,0,-
0xa23f5e6974633d93b3f456d33b336628e6199947,2153114603109585004859,25185489780085314123426,0,0,2153114603109585004859,0,0,-
0x67905d3e4fec0c85dce68195f66dc8eb32f59179,2143876078929263712780,25041505988279903249349,0,0,2143876078929263712780,0,0,-
0x8a8feacc614fa4b59cc2501f680c28e98e57bd14,2141230065100824504043,25000305511500238026201,0,0,2141230065100824504043,0,0,-
0x334f12afb7d8740868be04719639616533075234,2134321463392452642438,24892813273348478105618,0,0,2134321463392452642438,0,0,-
0x781fea3353d6efbbabc9fac0b4725eff3c77dba7,2133843805438743856939,0,81354133102818217594177,0,0,2133843805438743856939,0,-
0xd0b8dfcf9da999db981a60a8da6584e8e52b757c,2101302446535815761308,0,79704138980940682813525,0,0,2101302446535815761308,0,-
0xc5df0de04927f66ef9d2b64e25be9caaafb1971f,2092299020021521300805,0,79249121243774236063473,0,0,2092299020021521300805,0,-
